date,product_id,current_inventory,competitor_price,demand_score,season,customer_segment,cost_per_unit,suggested_price,actual_price,revenue
2024-04-03,SKU001,120,21.60,5.1,spring,budget,12.00,23.75,22.99,2759.80
2024-04-04,SKU001,118,21.80,4.9,spring,budget,12.00,23.25,22.99,2711.82
2024-04-05,SKU002,88,43.50,4.0,spring,premium,28.00,47.00,46.99,4135.12
2024-04-06,SKU002,86,43.70,4.1,spring,premium,28.00,47.50,46.99,4041.14
2024-04-07,SKU002,84,43.30,3.8,spring,premium,28.00,46.50,46.99,3947.16
2024-04-08,SKU003,245,14.50,5.5,spring,budget,8.50,16.75,15.99,3917.55
2024-04-09,SKU003,242,14.60,5.6,spring,budget,8.50,17.25,15.99,3869.58
2024-04-10,SKU003,239,14.40,5.4,spring,budget,8.50,16.95,15.99,3821.61
2024-06-01,SKU001,110,20.00,5.8,summer,budget,12.00,22.75,21.99,2418.90
2024-06-02,SKU001,108,20.10,5.9,summer,budget,12.00,23.25,21.99,2374.92
2024-06-03,SKU001,105,19.90,5.7,summer,budget,12.00,22.95,21.99,2310.95
2024-06-04,SKU001,103,20.20,5.5,summer,budget,12.00,22.50,21.99,2265.97
2024-06-05,SKU002,75,42.00,4.5,summer,premium,28.00,45.50,44.99,3374.25
2024-06-06,SKU002,73,42.30,4.6,summer,premium,28.00,46.00,44.99,3284.27
2024-06-07,SKU002,71,41.80,4.4,summer,premium,28.00,45.25,44.99,3194.29
2024-06-08,SKU003,220,13.80,5.9,summer,budget,8.50,15.95,15.49,3407.80
2024-06-09,SKU003,217,13.90,6.0,summer,budget,8.50,16.50,15.49,3359.83
2024-06-10,SKU003,214,13.70,5.8,summer,budget,8.50,16.00,15.49,3311.86
2024-09-01,SKU001,135,21.50,4.8,fall,budget,12.00,24.00,23.49,3170.15
2024-09-02,SKU001,132,21.40,4.9,fall,budget,12.00,24.50,23.49,3099.18
2024-09-03,SKU001,130,21.80,4.7,fall,budget,12.00,24.00,23.49,3053.20
2024-09-04,SKU001,128,21.60,4.5,fall,budget,12.00,23.50,23.49,3007.22
2024-09-05,SKU002,95,44.50,3.8,fall,premium,28.00,48.00,47.49,4511.55
2024-09-06,SKU002,93,44.30,3.9,fall,premium,28.00,48.50,47.49,4417.57
2024-09-07,SKU002,91,44.70,3.7,fall,premium,28.00,48.00,47.49,4323.59
2024-09-08,SKU003,260,15.20,5.2,fall,budget,8.50,17.75,17.49,4547.40
2024-09-09,SKU003,257,15.10,5.3,fall,budget,8.50,18.00,17.49,4499.43
2024-09-10,SKU003,254,15.40,5.1,fall,budget,8.50,17.75,17.49,4451.46
2024-11-01,SKU001,148,22.80,3.9,fall,budget,12.00,25.00,24.49,3624.52
2024-11-02,SKU001,145,22.70,4.0,fall,budget,12.00,25.50,24.49,3549.05
2024-11-03,SKU001,142,23.00,3.8,fall,budget,12.00,25.00,24.49,3473.58
2024-11-04,SKU002,105,45.80,3.6,fall,premium,28.00,49.50,48.49,5091.45
2024-11-05,SKU002,103,45.50,3.7,fall,premium,28.00,49.75,48.49,4993.47
2024-11-06,SKU002,101,45.90,3.5,fall,premium,28.00,49.00,48.49,4895.49
2024-12-01,SKU001,155,23.50,3.5,winter,budget,12.00,26.00,25.49,3951.45
2024-12-02,SKU001,152,23.40,3.6,winter,budget,12.00,26.50,25.49,3876.48
2024-12-03,SKU001,149,23.70,3.4,winter,budget,12.00,26.00,25.49,3801.51
2024-12-04,SKU002,112,47.00,3.6,winter,premium,28.00,51.00,50.49,5654.88
2024-12-05,SKU002,110,46.80,3.7,winter,premium,28.00,51.50,50.49,5554.90
2024-12-06,SKU002,108,47.20,3.5,winter,premium,28.00,51.00,50.49,5454.92
